pna,ao,soi,dxs,dD,unc,dO,unc.1,amount [mL],date
2.241,1.296,-7.17,24.09935514,-13.50366307,0.984738282,-4.700377275,0.372767749,971.0105263,10/7/03
1.54,1.658,-11.06,24.20998192,-13.50945067,0.986217232,-4.714929073,0.373311793,975.8909774,10/8/03
1.218,1.271,-6.02,24.3206087,-13.51523827,0.987696182,-4.729480871,0.373855836,980.7714286,10/9/03
1.068,0.657,-12.82,24.43123549,-13.52102587,0.989175133,-4.744032669,0.374399879,985.6518797,10/10/03
1.072,0.087,-12.52,24.54186227,-13.52681347,0.990654083,-4.758584467,0.374943923,990.5323308,10/11/03
0.72,-0.723,-0.14,24.65248906,-13.53260107,0.992133033,-4.773136265,0.375487966,995.412782,10/12/03
0.702,-1.804,6.36,24.76311584,-13.53838867,0.993611984,-4.787688063,0.376032009,1000.293233,10/13/03
0.794,-2.814,-0.6,24.87374262,-13.54417627,0.995090934,-4.802239861,0.376576053,1005.173684,10/14/03
0.879,-3.297,-2.05,24.98436941,-13.54996387,0.996569885,-4.816791659,0.377120096,1010.054135,10/15/03
0.598,-3.257,1.01,25.09499619,-13.55575147,0.998048835,-4.831343457,0.37766414,1014.934586,10/16/03
0.632,-2.991,1.77,25.20562298,-13.56153907,0.999527785,-4.845895255,0.378208183,1019.815038,10/17/03
0.977,-3.094,-1.05,25.31624976,-13.56732667,1.001006736,-4.860447053,0.378752226,1024.695489,10/18/03
1.153,-2.976,-12.29,25.42687654,-13.57311427,1.002485686,-4.874998851,0.37929627,1029.57594,10/19/03
0.855,-2.637,-31.85,25.53750333,-13.57890187,1.003964636,-4.889550649,0.379840313,1034.456391,10/20/03
0.682,-1.927,-20.08,25.64813011,-13.58468947,1.005443587,-4.904102447,0.380384356,1039.336842,10/21/03
0.705,-1.439,-18.4,25.7587569,-13.59047707,1.006922537,-4.918654245,0.3809284,1044.217293,10/22/03
0.579,-1.41,-17.02,25.86938368,-13.59626467,1.008401487,-4.933206043,0.381472443,1049.097744,10/23/03
0.177,-1.117,-11.45,25.98001046,-13.60205227,1.009880438,-4.947757841,0.382016487,1053.978195,10/24/03
-0.043,0.251,-8.62,26.09063725,-13.60783987,1.011359388,-4.962309639,0.38256053,1058.858647,10/25/03
-0.055,2.028,-5.49,26.20126403,-13.61362747,1.012838338,-4.976861437,0.383104573,1063.739098,10/26/03
-0.455,3.425,-9.08,26.31189082,-13.61941507,1.014317289,-4.991413235,0.383648617,1068.619549,10/27/03
-1.144,2.929,-8.39,26.4225176,-13.62520267,1.015796239,-5.005965033,0.38419266,1073.5,10/28/03
-1.793,1.227,10.56,25.41100113,-17.8300778,1.017593523,-5.405134866,0.384366316,1068.678571,10/29/03
-2.046,-0.593,28.13,24.39948467,-22.03495294,1.019390807,-5.8043047,0.384539973,1063.857143,10/30/03
-2.141,-1.712,19.73,23.3879682,-26.23982807,1.02118809,-6.203474533,0.384713629,1059.035714,10/31/03
-1.968,-1.315,7.11,22.37645173,-30.4447032,1.022985374,-6.602644366,0.384887285,1054.214286,11/1/03
-1.773,-1.111,-0.81,21.36493527,-34.64957833,1.024782658,-7.0018142,0.385060941,1049.392857,11/2/03
-1.656,-0.535,0.51,20.3534188,-38.85445347,1.026579942,-7.400984033,0.385234598,1044.571429,11/3/03
-1.35,-0.047,2.57,19.34190234,-43.0593286,1.028377226,-7.800153867,0.385408254,1039.75,11/4/03
-1.172,-0.265,-16.8,18.33038587,-47.26420373,1.030174509,-8.1993237,0.38558191,1034.928571,11/5/03
-0.953,-0.674,-10.04,17.3188694,-51.46907887,1.031971793,-8.598493533,0.385755567,1030.107143,11/6/03
-0.428,-0.802,-0.97,16.30735294,-55.673954,1.033769077,-8.997663367,0.385929223,1025.285714,11/7/03
