SampleName,site,In,Out,middate,dxs,dD,unc,dO,unc,amount [mL],SOI in (monthly),SOI out (monthly),SOI middate (monthly),SOI average (monthly),PNA in (daily),PNA out (daily),PNA middate (daily),PNA average (daily),AO in (daily),AO out (daily),AO middate (daily),AO average (daily)
TI1764SW,CA42,40498,40506,40502,21.82821807,-22.53521287,1.377618234,-5.545428867,0.32279715,484.2,1.62,1.62,1.62,1.62,-1.239,-1.548,-1.819,-1.535333333,1.719,-2.705,-2.321,-1.102333333
TI1753SW,CA42,40506,40512,40509,14.19923267,-38.92923293,0.768096348,-6.6410582,0.343193823,51.7,1.62,1.62,1.62,1.62,-1.548,-0.565,-0.977,-1.03,-2.705,-1.377,-3.935,-2.672333333
TI1798SW,CA42,40512,40519,40515.5,17.25400227,-74.30433027,1.210242125,-11.44479157,0.348727687,1601.6,1.62,2.9,2.9,2.473333333,-0.565,-0.61,-0.947,-0.707333333,-1.377,-2.306,-0.464,-1.382333333
TI2541SW,CA42,40526,40533,40529.5,10.7212448,-57.43604853,0.708350902,-8.519661667,0.326712412,-9.9,2.9,2.9,2.9,2.9,-1.097,-2.131,-1.276,-1.501333333,-2.148,-4.23,-4.549,-3.642333333
TI3811SW,CA42,40568,40575,40571.5,13.42272733,-22.90787,0.998672619,-4.541324667,0.316442728,286.2,2.01,2.12,2.01,2.046666667,1.098,0.908,1.12,1.042,-0.272,2.097,0.458,0.761
TI4683SW,CA42,40589,40596,40592.5,19.8494352,-36.4296328,1.065692732,-7.0348835,0.380893686,6371.3,2.12,2.12,2.12,2.12,-1.404,-1.332,-1.44,-1.392,-0.007,0.759,-0.205,0.182333333
TI4988SW,CA42,40596,40604,40600,23.51877087,-48.80191393,1.16454884,-9.0400856,0.36883194,5194.2,2.12,2.09,2.12,2.11,-1.332,-0.305,-1.463,-1.033333333,0.759,0.389,3.411,1.519666667
TI5264SW,CA42,40604,40611,40607.5,11.96503713,-25.0309546,0.973992813,-4.624498967,0.237194013,481.8,2.09,2.09,2.09,2.09,-0.305,0.349,0.361,0.135,0.389,1.444,0.665,0.832666667
TI5541SW,CA42,40617,40624,40620.5,18.72673967,-64.0104406,1.555158191,-10.34214753,0.283783368,7981.2,2.09,2.09,2.09,2.09,1.155,0.434,0.281,0.623333333,1.799,1.986,0.856,1.547
TI5763SW,CA42,40624,40631,40627.5,21.5832968,-37.31192027,1.164838615,-7.361902133,0.296325834,2588.5,2.09,2.09,2.09,2.09,0.434,0.941,0.209,0.528,1.986,1.456,1.619,1.687
TI6295SW,CA42,40638,40645,40641.5,19.56973033,-44.27986913,0.766078978,-7.981199933,0.257817765,292.2,3.02,3.02,3.02,3.02,-0.541,-0.952,-0.262,-0.585,4.106,3.438,2.982,3.508666667
TI7279SW,CA42,40666,40673,40669.5,14.1856514,-23.56926407,1.413957213,-4.719364433,0.258288598,154.1,0.46,0.46,0.46,0.46,-0.728,-0.644,-0.627,-0.666333333,-1.107,-0.565,-0.259,-0.643666667
TI7833SW,CA42,40673,40680,40676.5,20.11548987,-18.87134053,1.022483741,-4.8733538,0.26537709,619.4,0.46,0.46,0.46,0.46,-0.644,1.356,0.88,0.530666667,-0.565,0.486,-0.722,-0.267
TI7839SW,CA42,40680,40687,40683.5,12.61786773,-36.38461813,0.896974916,-6.125310733,0.302724297,609.8,0.46,0.46,0.46,0.46,1.356,1.181,1.745,1.427333333,0.486,0.264,-0.052,0.232666667
TI8377SW,CA42,40695.42014,40702.62153,40699.02083,13.6574886,-23.33583087,1.239840716,-4.624164933,0.395790349,74.2,-0.04,-0.04,-0.04,-0.04,-0.062,-0.082,0.442,0.099333333,0.958,-1.439,-0.112,-0.197666667
TJ1706SW,CA42,40785.44792,40792.58333,40789.01563,-13.40643707,6.965792,1.085665234,2.546528633,0.348209707,88.2,0.07,1.14,1.14,0.783333333,0.385,-0.595,-0.581,-0.263666667,0.924,0.426,0.404,0.584666667
